label,source_type,source_file,n_calpha,n_modes,min_frequency_thz,max_frequency_thz,mean_frequency_thz,modes_microwave_lt_0_1_thz,modes_thz_0_1_to_3_0_thz,modes_beyond_3_0_thz,negative_eigenvalues_clipped,elapsed_seconds,status,error
1RY2,RCSB,structures/1RY2.pdb,615,1839,0.14055137061107859,1.559508204649357,0.9756633528949978,0,1839,0,0,34.665,ok,
2PFF,RCSB,structures/2PFF.pdb,5661,16941,0.009724268483344756,1.6434709093280242,0.9085031373742156,75,16866,0,0,974.487,ok,
4HNW,RCSB,structures/4HNW.pdb,971,2907,0.03580866089398844,1.5247275647248766,0.9108536280051364,9,2898,0,0,125.124,ok,
3RKU,RCSB,structures/3RKU.pdb,1072,3210,0.12534946267548294,1.598483125731872,1.0144945810164931,0,3210,0,0,129.476,ok,
YPL061W,AlphaFold/GitHub,structures/AF-P54115-F1-model_v6.pdb,500,1494,0.027782866043270377,1.5639655690441616,0.9802888831924124,3,1491,0,0,50.382,ok,
YBR145W,AlphaFold/GitHub,structures/AF-P38113-F1-model_v6.pdb,351,1047,0.14136594144370657,1.5685148704710745,0.9533618093935814,0,1047,0,0,24.888,ok,
YGR177C,AlphaFold/GitHub,structures/AF-P53296-F1-model_v6.pdb,535,1599,0.15136896614947767,1.5283791953183115,0.942444969633664,0,1599,0,0,56.972,ok,
YGL001C,AlphaFold/GitHub,structures/AF-P53199-F1-model_v6.pdb,349,1041,0.09255367890442197,1.5374755868258643,0.9274339995886832,1,1040,0,0,35.799,ok,
YLR174W,AlphaFold/GitHub,structures/AF-P41939-F1-model_v6.pdb,412,1230,0.035333769779442414,1.545221426265762,0.8983887581103053,5,1225,0,0,36.23,ok,
YNR057C,AlphaFold/GitHub,structures/AF-P53630-F1-model_v6.pdb,237,705,0.018906461973865345,1.4801023619774432,0.8964341796570113,7,698,0,0,16.216,ok,
