label,source_type,source_file,n_calpha,n_modes,min_frequency_thz,max_frequency_thz,mean_frequency_thz,modes_microwave_lt_0_1_thz,modes_thz_0_1_to_3_0_thz,modes_beyond_3_0_thz,negative_eigenvalues_clipped,elapsed_seconds,status,error
2AXQ,RCSB,structures/2AXQ.pdb,445,1329,0.06915762192398055,1.5221780686399737,0.9245709032087407,2,1327,0,0,23.245,ok,
1YAA,RCSB,structures/1YAA.pdb,1648,4938,0.030748442328032675,1.5777440882904117,0.9889114347653125,5,4933,0,0,135.989,ok,
3FKY,RCSB,structures/3FKY.pdb,6726,20172,0.028324988591096802,1.553756665997958,0.9932812134975391,19,20153,0,0,1684.636,ok,
3IG5,RCSB,structures/3IG5.pdb,673,2013,0.15935060717036253,1.5538344003800362,0.9747307709546751,0,2013,0,0,75.623,ok,
9GR8,RCSB,structures/9GR8.pdb,337,1005,0.1117313789047524,1.4570892006624563,0.8869817063086396,0,1005,0,0,31.117,ok,
YPR021C,AlphaFold/GitHub,structures/AF-P33327-F1-model_v6.pdb,1092,3270,0.004174241633969241,1.5576361952650541,0.9211723519488866,24,3246,0,0,154.91,ok,
YLR174W,AlphaFold/GitHub,structures/AF-P49090-F1-model_v6.pdb,572,1710,0.1497492038626999,1.567551362175484,0.9800600538458303,0,1710,0,0,54.555,ok,
YGR019W,AlphaFold/GitHub,structures/AF-P17649-F1-model_v6.pdb,471,1407,0.0945036458950776,1.5491701402799447,0.9335714862262782,1,1406,0,0,40.021,ok,
YAL062W,AlphaFold/GitHub,structures/AF-P39708-F1-model_v6.pdb,457,1365,0.11937386110315157,1.5862002344159178,0.9691326903810369,0,1365,0,0,42.12,ok,
YKL132C,AlphaFold/GitHub,structures/AF-P36001-F1-model_v6.pdb,430,1284,0.06721681373649945,1.5462796142638107,0.9217205422530909,2,1282,0,0,49.908,ok,
